"card-title","card-title href","job-component-icon-and-text","job-component-icon-and-text 2","job-component-icon-and-text 3","job-component-icon-and-text 4","job-component-icon-and-text 5","card-text","job-component-icon-and-text 6"
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/c91b15b9-7d95-48f2-945f-835f62c5b63f","Mount Waverley, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Mar 14 2025","We are looking for Support worker Catering for our Calvary The Regent.",""
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/03844a4e-a235-4eb1-8d58-6a6b26020925","Mount Waverley, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Mar 14 2025","We are looking for Personal care workers to join our team at Calvary The Regent.",""
"Home Support Officer","https://careers.calvarycare.org.au/jobs/d227cd8c-a436-4ccd-a0ff-6afd46613d9a","Mount Waverley, VIC, Australia","VIC","Administration & Office Support","Permanent","Closing on: Mar 15 2025","We are looking for Home Support Officer  to join our team at Calvary!",""
"Registered Nurse - Aged Care","https://careers.calvarycare.org.au/jobs/95fd5f92-70a1-4a0c-a68e-ea907e023341","Endeavour Hills, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Mar 14 2025","We are looking for a Registered Nurse located in our  Calvary Viewhills Manor.",""
"Personal Care Worker - Aged Care","https://careers.calvarycare.org.au/jobs/e3dd6ff4-3482-4d31-b131-a53ed05936af","Caulfield South, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Mar 14 2025","We are looking for Personal Care Worker with experience in Dementia support to join our team at Calvary Huntly Suites- Caulfield, VIC!",""
"Maintenance Office","https://careers.calvarycare.org.au/jobs/4caca235-ca0c-4c60-b56f-8beac5c9a889","Albury, NSW, Australia","NSW","Aged Care Support","Permanent","Closing on: Mar 13 2025","We are looking for Handyman to join our team at Calvary, Located in Albury NSW!",""
"Registered Nurse","https://careers.calvarycare.org.au/jobs/3bffbff6-c679-4501-9327-b9c7cf88fbd7","Capel Sound, VIC, Australia","VIC","Nursing","Casual","Closing on: Mar 12 2025","Join our team as a Registered Nurse at Calvary Capel Sands!",""
"Chef Manager","https://careers.calvarycare.org.au/jobs/6e06ef0a-f391-4942-a445-b06ab913f2f3","Endeavour Hills, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Mar 12 2025","We are looking for chef manager full time permanent in our Calvary Viewhills facility.",""
"Support Worker Catering","https://careers.calvarycare.org.au/jobs/e7afadb9-4a1b-4fff-906a-6b5aca11f3f3","Capel Sound, VIC, Australia","VIC","Hospitality","Casual","Closing on: Mar 12 2025","We are looking for Support Worker- Catering to join our team at Calvary!",""
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/f2e04577-202d-4e0b-89ec-3ba516336fe9","Capel Sound, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Mar 12 2025","Join our team as a Personal Care Worker at Calvary Capel Sands!",""
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/f11231dd-6b71-4d48-a5f1-c39e87e72c18","Mt Eliza, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Mar 11 2025","We are looking for Personal Care Worker to join our team at Calvary George Vowell- Mt. Eliza, VIC!",""
"Travel Registered Nurse - Hospital","https://careers.calvarycare.org.au/jobs/1e24efbd-02e9-46fb-992d-13887decc47f","Hobart, TAS, Australia","TAS","Nursing","Fixed Term - Task Specific","Closing on: Mar 11 2025","Calling all adventurous Registered Nurses!!",""
"Travelling Clinical Care Coordinator - Aged Care","https://careers.calvarycare.org.au/jobs/travelling-clinical-care-coordinator-aged-care-lakes-entrance-vic-australia","Lakes Entrance, VIC, Australia","VIC","Nursing","","","Calling all adventurous Clinical Care Coordinators!!",""
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-launceston-tas-australia-de4fdad7-baaf-4e0f-9433-167cf93cbeaa","Launceston, TAS, Australia","TAS","Nursing","Casual","Permanent","Join our supportive team at RN at Sandhill, Calvay Healthcare!",""
